date,GA actual,GA noPolicy,GA drug new five,GA drug new fifteen,GA drug new twentyFive,GA drug new fifty,GA property new five,GA property new fifteen,GA property new twentyFive,GA property new fifty,GA violent new five,GA violent new fifteen,GA violent new twentyFive,GA violent new fifty,GA nonviolent new five,GA nonviolent new fifteen,GA nonviolent new twentyFive,GA nonviolent new fifty,GA all new five,GA all new fifteen,GA all new twentyFive,GA all new fifty,GA revocation new five,GA revocation new fifteen,GA revocation new twentyFive,GA revocation new fifty,GA drug length five,GA drug length fifteen,GA drug length twentyFive,GA drug length fifty,GA property length five,GA property length fifteen,GA property length twentyFive,GA property length fifty,GA violent length five,GA violent length fifteen,GA violent length twentyFive,GA violent length fifty,GA nonviolent length five,GA nonviolent length fifteen,GA nonviolent length twentyFive,GA nonviolent length fifty,GA all length five,GA all length fifteen,GA all length twentyFive,GA all length fifty,GA revocation length five,GA revocation length fifteen,GA revocation length twentyFive,GA revocation length fifty
Jun-00,44137.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-00,44680.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-01,47285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-01,46681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-02,47572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-02,47773.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-03,49093.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-03,47652.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-04,48754.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-04,48713.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-05,53315.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-05,49892.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-06,54535.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-06,53628.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-07,54893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-07,55473.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-08,55023.9957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-08,53673.9957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-09,53205.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-09,54275.9951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-10,53657.9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-10,53640.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-11,55594.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-11,53566.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-12,55038.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-12,55038.997,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039,55039
